Course,Teacher,Classroom,Day,Start Time,End Time,Semester
DS-703 Machine Learning MSDS-I,Dr. Sobia Khalid,S-2,Monday,09:30,11:00,Fall 2025
DS-703 Machine Learning MSDS-I,Dr. Irum Matloob,S-2,Monday,11:30,01:00,Fall 2025
SE-613 Data Structures and Algorithm BSE-IIIB,Dr. Sobia Khalid,S-3,Monday,09:30,11:00,Fall 2025
SE-613 Data Structures and Algorithm BSE-IIIA,Dr. Sobia Khalid,S-3,Monday,11:30,01:00,Fall 2025
SE-615Lab Operating Systems Lab BSE-IIIB,Engr. Muhammad Shahzad,S-3,Monday,01:00,02:30,Fall 2025
NS-637 Exploring Quantitative Skills BSE-IA,Dr. Aliya Ashraf Khan,S-7,Monday,09:30,11:00,Fall 2025
SE-615 Operating Systems BSE-IIIB,Dr. Mehreen Sirshar,S-6,Monday,11:30,01:00,Fall 2025
SE-615 Operating Systems BSE-IIIB,Dr. Mehreen Sirshar,S-7,Monday,11:30,01:00,Fall 2025
SE-618 Introduction to Info & Communication Technologies BSE-IA,Dr. Mehreen Sirshar,S-7,Monday,01:00,02:30,Fall 2025
SE-611 Programming Fundamentals BSE-IA,Dr. Bushra Bashir,S-3,Tuesday,08:00,09:30,Fall 2025
BSE-620 Formal Methods in Software Engineering BSE-VIIA,Dr. Mukhtiar Bano,S-3,Tuesday,09:30,11:00,Fall 2025
SE-611 Programming Fundamentals BSE-IA,Dr. Bushra Bashir,S-8,Tuesday,11:30,01:00,Fall 2025
SE-618 Introduction to Info & Communication Technologies BSE-IB,Dr. Sidra Ejaz,S-8,Tuesday,11:30,01:00,Fall 2025
DS-757 Data Science Programming MSDS-I,Dr. Sobia Khalid,S-2,Wednesday,11:30,01:00,Fall 2025
BSE-620 Formal Methods in Software Engineering BSE-VIIB,Dr. Mukhtiar Bano,S-3,Wednesday,09:30,11:00,Fall 2025
SE-666 Designing and Analysis of Algorithms BSE-VB,Dr. Sidra Ejaz,S-3,Wednesday,11:30,01:00,Fall 2025
DS-713 Deep Learning MSDS-III,Dr. Mehreen Sirshar,S-6,Wednesday,09:30,11:00,Fall 2025
DS-754 AI for Healthcare MSDS-III,Dr. Aliya Ashraf Khan,S-6,Wednesday,11:30,01:00,Fall 2025
SE-613Lab Data Structures and Algorithm Lab BSE-IIIA,Dr. Mehreen Sirshar,S-7,Wednesday,11:30,01:00,Fall 2025
Dr. Saria Safdar,Dr. Saria Safdar,S-6,Thursday,08:00,09:30,Fall 2025
DS-713 Deep Learning MSDS-III,Dr. Mehreen Sirshar,S-6,Thursday,09:30,11:00,Fall 2025
DS-754 AI for Healthcare MSDS-III,Dr. Aliya Ashraf Khan,S-6,Thursday,11:30,01:00,Fall 2025
SE-613Lab Data Structures and Algorithm Lab BSE-IIIB,Engr. Rehan Ahmed,S-7,Thursday,11:30,01:00,Fall 2025
SE-658Lab Software Construction & Development Lab BSE-VB,Dr. Bushra Bashir,S-3,Thursday,11:30,01:00,Fall 2025
Dr. Irum Matloob,Dr. Irum Matloob,S-2,Friday,09:30,11:00,Fall 2025
SE-658 Software Construction & Development BSE-VA,Dr. Mukhtiar Bano,S-3,Friday,09:30,11:00,Fall 2025
SE-658 Software Construction & Development BSE-VB,Dr. Mukhtiar Bano,S-3,Friday,01:00,02:30,Fall 2025
SE-CD-631 Artificial Intelligence BSE-VA,Dr. Irum Matloob,S-6,Friday,10:00,11:30,Fall 2025
SE-611Lab Programming Fundamentals Lab BSE-IA,Dr. Bushra Bashir,S-7,Friday,11:30,01:00,Fall 2025
BSE-702 Internet of Things (IoT) BSE-VIIA,Dr. Bushra Bashir,S-8,Friday,11:30,01:00,Fall 2025
NS-637 Exploring Quantitative Skills BSE-IA,Dr. Aliya Ashraf Khan,S-8,Friday,11:30,01:00,Fall 2025
SE-618LAB Introduction to Info & Communication Technologies Lab BSE-IB,Engr. Ahsen Ilyas,S-2,Tuesday,09:30,11:00,Fall 2025
NS-616Lab Applied Physics Lab BSE-IB,Engr. Ahsen Ilyas,S-2,Tuesday,01:00,02:30,Fall 2025
DS-701 Tools and Techniques of Data Science MSDS-I,Dr. Aamir Arsalan,S-2,Wednesday,08:00,09:30,Fall 2025
